sample_id,batch
FUSCCTNBC184.rep,batch1
FUSCCTNBC131.rep,batch1
FUSCCTNBC181.rep,batch1
FUSCCTNBC180.rep,batch1
FUSCCTNBC006.rep,batch1
FUSCCTNBC024.rep,batch1
FUSCCTNBC168.rep,batch1
FUSCCTNBC042.rep,batch1
FUSCCTNBC042.PT.rep,batch1
FUSCCTNBC125.rep,batch1
FUSCCTNBC012.rep,batch1
FUSCCTNBC045.rep,batch1
FUSCCTNBC017.rep,batch1
FUSCCTNBC155.rep,batch1
FUSCCTNBC182.rep,batch1
FUSCCTNBC248.rep,batch1
FUSCCTNBC202.rep,batch1
FUSCCTNBC203.rep,batch1
FUSCCTNBC187.rep,batch1
FUSCCTNBC252.rep,batch1
FUSCCTNBC247.rep,batch1
FUSCCTNBC303.rep,batch1
FUSCCTNBC306.rep,batch1
FUSCCTNBC295.rep,batch1
FUSCCTNBC295.PT.rep,batch1
FUSCCTNBC266.rep,batch1
FUSCCTNBC264.rep,batch1
FUSCCTNBC293.rep,batch1
FUSCCTNBC283.rep,batch1
FUSCCTNBC283.PT.rep,batch1
FUSCCTNBC310.rep,batch1
FUSCCTNBC368.rep,batch1
FUSCCTNBC356.rep,batch1
FUSCCTNBC255.PT.rep,batch1
FUSCCTNBC357.rep,batch1
FUSCCTNBC309.rep,batch1
FUSCCTNBC008.PT.rep,batch1
FUSCCTNBC048.PT,batch1
FUSCCTNBC050,batch1
FUSCCTNBC068.PT,batch1
FUSCCTNBC079.PT,batch1
FUSCCTNBC048,batch1
FUSCCTNBC057,batch1
FUSCCTNBC068,batch1
FUSCCTNBC057.PT,batch1
FUSCCTNBC050.PT,batch1
FUSCCTNBC087.PT,batch1
FUSCCTNBC095.PT,batch1
FUSCCTNBC097.PT,batch1
FUSCCTNBC080.PT,batch1
FUSCCTNBC005,batch1
FUSCCTNBC008,batch1
FUSCCTNBC080,batch1
FUSCCTNBC087,batch1
FUSCCTNBC095,batch1
FUSCCTNBC097,batch1
FUSCCTNBC099,batch1
FUSCCTNBC005.PT,batch1
FUSCCTNBC213.PT,batch1
FUSCCTNBC236.PT,batch1
FUSCCTNBC198.PT,batch1
FUSCCTNBC099.PT,batch1
FUSCCTNBC246.PT,batch1
FUSCCTNBC204.PT,batch1
FUSCCTNBC198,batch1
FUSCCTNBC204,batch1
FUSCCTNBC213,batch1
FUSCCTNBC236,batch1
FUSCCTNBC246,batch1
FUSCCTNBC334,batch1
FUSCCTNBC335,batch1
FUSCCTNBC030.PT,batch1
FUSCCTNBC003.PT,batch1
FUSCCTNBC282.PT,batch1
FUSCCTNBC334.PT,batch1
FUSCCTNBC003,batch1
FUSCCTNBC030,batch1
FUSCCTNBC282,batch1
FUSCCTNBC351,batch1
FUSCCTNBC374,batch1
FUSCCTNBC441,batch1
FUSCCTNBC442,batch1
FUSCCTNBC266.PT,batch1
FUSCCTNBC441.PT,batch1
FUSCCTNBC442.PT,batch1
FUSCCTNBC351.PT,batch1
FUSCCTNBC374.PT,batch1
FUSCCTNBC001,batch1
FUSCCTNBC015,batch1
FUSCCTNBC018,batch1
FUSCCTNBC019,batch1
FUSCCTNBC021,batch1
FUSCCTNBC025,batch1
FUSCCTNBC026,batch1
FUSCCTNBC004,batch1
FUSCCTNBC009,batch1
FUSCCTNBC168.PT,batch1
FUSCCTNBC134.PT,batch1
FUSCCTNBC137.PT,batch1
FUSCCTNBC017.PT,batch1
FUSCCTNBC155.PT,batch1
FUSCCTNBC178.PT,batch1
FUSCCTNBC134,batch1
FUSCCTNBC137,batch1
FUSCCTNBC178,batch1
FUSCCTNBC027,batch1
FUSCCTNBC028,batch1
FUSCCTNBC031,batch1
FUSCCTNBC033,batch1
FUSCCTNBC034,batch1
FUSCCTNBC038,batch1
FUSCCTNBC039,batch1
FUSCCTNBC040,batch1
FUSCCTNBC046,batch1
FUSCCTNBC047,batch1
FUSCCTNBC052,batch1
FUSCCTNBC056,batch1
FUSCCTNBC065,batch1
FUSCCTNBC066,batch1
FUSCCTNBC070,batch1
FUSCCTNBC072,batch1
FUSCCTNBC073,batch1
FUSCCTNBC076,batch1
FUSCCTNBC078,batch1
FUSCCTNBC081,batch1
FUSCCTNBC100,batch1
FUSCCTNBC107,batch1
FUSCCTNBC110,batch1
FUSCCTNBC118,batch1
FUSCCTNBC119,batch1
FUSCCTNBC084,batch1
FUSCCTNBC085,batch1
FUSCCTNBC086,batch1
FUSCCTNBC088,batch1
FUSCCTNBC090,batch1
FUSCCTNBC093,batch1
FUSCCTNBC096,batch1
FUSCCTNBC156,batch1
FUSCCTNBC158,batch1
FUSCCTNBC161,batch1
FUSCCTNBC163,batch1
FUSCCTNBC165,batch1
FUSCCTNBC167,batch1
FUSCCTNBC169,batch1
FUSCCTNBC170,batch1
FUSCCTNBC171,batch1
FUSCCTNBC174,batch1
FUSCCTNBC177,batch1
FUSCCTNBC188,batch1
FUSCCTNBC191,batch1
FUSCCTNBC194,batch1
FUSCCTNBC195,batch1
FUSCCTNBC197,batch1
FUSCCTNBC201,batch1
FUSCCTNBC208,batch1
FUSCCTNBC210,batch1
FUSCCTNBC212,batch1
FUSCCTNBC214,batch1
FUSCCTNBC216,batch1
FUSCCTNBC225,batch1
FUSCCTNBC226,batch1
FUSCCTNBC227,batch1
FUSCCTNBC231,batch1
FUSCCTNBC232,batch1
FUSCCTNBC234,batch1
FUSCCTNBC237,batch1
FUSCCTNBC135,batch1
FUSCCTNBC142,batch1
FUSCCTNBC143,batch1
FUSCCTNBC145,batch1
FUSCCTNBC146,batch1
FUSCCTNBC147,batch1
FUSCCTNBC148,batch1
FUSCCTNBC150,batch1
FUSCCTNBC152,batch1
FUSCCTNBC238,batch1
FUSCCTNBC239,batch1
FUSCCTNBC240,batch1
FUSCCTNBC241,batch1
FUSCCTNBC245,batch1
FUSCCTNBC256,batch1
FUSCCTNBC258,batch1
FUSCCTNBC261,batch1
FUSCCTNBC262,batch1
FUSCCTNBC263,batch1
FUSCCTNBC269,batch1
FUSCCTNBC284,batch1
FUSCCTNBC285,batch1
FUSCCTNBC288,batch1
FUSCCTNBC290,batch1
FUSCCTNBC291,batch1
FUSCCTNBC292,batch1
FUSCCTNBC296,batch1
FUSCCTNBC300,batch1
FUSCCTNBC301,batch1
FUSCCTNBC305,batch1
FUSCCTNBC307,batch1
FUSCCTNBC312,batch1
FUSCCTNBC313,batch1
FUSCCTNBC315,batch1
FUSCCTNBC317,batch1
FUSCCTNBC320,batch1
FUSCCTNBC321,batch1
FUSCCTNBC326,batch1
FUSCCTNBC329,batch1
FUSCCTNBC330,batch1
FUSCCTNBC333,batch1
FUSCCTNBC339,batch1
FUSCCTNBC340,batch1
FUSCCTNBC344,batch1
FUSCCTNBC352,batch1
FUSCCTNBC354,batch1
FUSCCTNBC359,batch1
FUSCCTNBC367,batch1
FUSCCTNBC376,batch1
FUSCCTNBC383,batch1
FUSCCTNBC443,batch1
FUSCCTNBC044.PT,batch1
FUSCCTNBC268.PT,batch1
FUSCCTNBC123.PT,batch1
FUSCCTNBC264.PT,batch1
FUSCCTNBC186.PT,batch1
FUSCCTNBC044,batch1
FUSCCTNBC123,batch1
FUSCCTNBC186,batch1
FUSCCTNBC268,batch1
FUSCCTNBC337,batch1
FUSCCTNBC445,batch1
FUSCCTNBC121,batch1
FUSCCTNBC164,batch1
FUSCCTNBC183,batch1
FUSCCTNBC220,batch1
FUSCCTNBC260,batch1
FUSCCTNBC274,batch1
FUSCCTNBC343,batch1
FUSCCTNBC335.PT,batch1
FUSCCTNBC343.PT,batch1
FUSCCTNBC079,batch1
FUSCCTNBC136,batch1
FUSCCTNBC138,batch1
FUSCCTNBC243,batch1
FUSCCTNBC271,batch1
FUSCCTNBC272,batch1
FUSCCTNBC273,batch1
FUSCCTNBC058,batch1
FUSCCTNBC059,batch1
FUSCCTNBC183.PT,batch1
FUSCCTNBC011.PT,batch2
FUSCCTNBC011,batch2
FUSCCTNBC013.PT,batch2
FUSCCTNBC013,batch2
FUSCCTNBC016.PT,batch2
FUSCCTNBC016,batch2
FUSCCTNBC023.PT,batch2
FUSCCTNBC023,batch2
FUSCCTNBC032.PT,batch2
FUSCCTNBC032,batch2
FUSCCTNBC036.PT,batch2
FUSCCTNBC036,batch2
FUSCCTNBC041.PT,batch2
FUSCCTNBC041,batch2
FUSCCTNBC045.PT,batch2
FUSCCTNBC102.PT,batch2
FUSCCTNBC102,batch2
FUSCCTNBC103.PT,batch2
FUSCCTNBC103,batch2
FUSCCTNBC113.PT,batch2
FUSCCTNBC113,batch2
FUSCCTNBC116.PT,batch2
FUSCCTNBC116,batch2
FUSCCTNBC125.PT,batch2
FUSCCTNBC129.PT,batch2
FUSCCTNBC129,batch2
FUSCCTNBC130.PT,batch2
FUSCCTNBC130,batch2
FUSCCTNBC140.PT,batch2
FUSCCTNBC140,batch2
FUSCCTNBC149.PT,batch2
FUSCCTNBC149,batch2
FUSCCTNBC154.PT,batch2
FUSCCTNBC154,batch2
FUSCCTNBC159.PT,batch2
FUSCCTNBC159,batch2
FUSCCTNBC166.PT,batch2
FUSCCTNBC166,batch2
FUSCCTNBC173.PT,batch2
FUSCCTNBC173,batch2
FUSCCTNBC176.PT,batch2
FUSCCTNBC176,batch2
FUSCCTNBC179.PT,batch2
FUSCCTNBC179,batch2
FUSCCTNBC196.PT,batch2
FUSCCTNBC196,batch2
FUSCCTNBC205.PT,batch2
FUSCCTNBC205,batch2
FUSCCTNBC215.PT,batch2
FUSCCTNBC215,batch2
FUSCCTNBC217.PT,batch2
FUSCCTNBC217,batch2
FUSCCTNBC229.PT,batch2
FUSCCTNBC229,batch2
FUSCCTNBC233.PT,batch2
FUSCCTNBC233,batch2
FUSCCTNBC242.PT,batch2
FUSCCTNBC242,batch2
FUSCCTNBC249.PT,batch2
FUSCCTNBC249,batch2
FUSCCTNBC255,batch2
FUSCCTNBC257.PT,batch2
FUSCCTNBC257,batch2
FUSCCTNBC289.PT,batch2
FUSCCTNBC289,batch2
FUSCCTNBC297.PT,batch2
FUSCCTNBC297,batch2
FUSCCTNBC298.PT,batch2
FUSCCTNBC298,batch2
FUSCCTNBC309.PT,batch2
FUSCCTNBC324.PT,batch2
FUSCCTNBC324,batch2
FUSCCTNBC328.PT,batch2
FUSCCTNBC328,batch2
FUSCCTNBC348.PT,batch2
FUSCCTNBC348,batch2
FUSCCTNBC360.PT,batch2
FUSCCTNBC360,batch2
FUSCCTNBC370.PT,batch2
FUSCCTNBC370,batch2
FUSCCTNBC380.PT,batch2
FUSCCTNBC380,batch2
FUSCCTNBC384.PT,batch2
FUSCCTNBC384,batch2
FUSCCTNBC435.PT,batch2
FUSCCTNBC435,batch2
FUSCCTNBC007,batch3
FUSCCTNBC010,batch3
FUSCCTNBC022,batch3
FUSCCTNBC037,batch3
FUSCCTNBC043,batch3
FUSCCTNBC054,batch3
FUSCCTNBC055,batch3
FUSCCTNBC063,batch3
FUSCCTNBC075,batch3
FUSCCTNBC083,batch3
FUSCCTNBC091,batch3
FUSCCTNBC092,batch3
FUSCCTNBC098,batch3
FUSCCTNBC101,batch3
FUSCCTNBC105,batch3
FUSCCTNBC128,batch3
FUSCCTNBC132,batch3
FUSCCTNBC160,batch3
FUSCCTNBC175,batch3
FUSCCTNBC199,batch3
FUSCCTNBC211,batch3
FUSCCTNBC223,batch3
FUSCCTNBC250,batch3
FUSCCTNBC251,batch3
FUSCCTNBC265,batch3
FUSCCTNBC267,batch3
FUSCCTNBC277,batch3
FUSCCTNBC308,batch3
FUSCCTNBC322,batch3
FUSCCTNBC327,batch3
FUSCCTNBC332,batch3
FUSCCTNBC341,batch3
FUSCCTNBC345,batch3
FUSCCTNBC385,batch3
FUSCCTNBC387,batch3
FUSCCTNBC388,batch3
FUSCCTNBC389,batch3
FUSCCTNBC391,batch3
FUSCCTNBC392,batch3
FUSCCTNBC393,batch3
FUSCCTNBC394,batch3
FUSCCTNBC397,batch3
FUSCCTNBC398,batch3
FUSCCTNBC399,batch3
FUSCCTNBC400,batch3
FUSCCTNBC403,batch3
FUSCCTNBC404,batch3
FUSCCTNBC405,batch3
FUSCCTNBC406,batch3
FUSCCTNBC412,batch3
FUSCCTNBC413,batch3
FUSCCTNBC414,batch3
FUSCCTNBC415,batch3
FUSCCTNBC416,batch3
FUSCCTNBC418,batch3
FUSCCTNBC420,batch3
FUSCCTNBC422,batch3
FUSCCTNBC423,batch3
FUSCCTNBC424,batch3
FUSCCTNBC425,batch3
FUSCCTNBC426,batch3
FUSCCTNBC427,batch3
FUSCCTNBC428,batch3
FUSCCTNBC429,batch3
FUSCCTNBC430,batch3
FUSCCTNBC431,batch3
FUSCCTNBC432,batch3
FUSCCTNBC434,batch3
FUSCCTNBC437,batch3
FUSCCTNBC438,batch3
FUSCCTNBC448,batch3
FUSCCTNBC449,batch3
FUSCCTNBC450,batch3
FUSCCTNBC451,batch3
FUSCCTNBC452,batch3
FUSCCTNBC453,batch3
FUSCCTNBC455,batch3
FUSCCTNBC456,batch3
FUSCCTNBC457,batch3
FUSCCTNBC458,batch3
FUSCCTNBC460,batch3
FUSCCTNBC461,batch3
FUSCCTNBC462,batch3
FUSCCTNBC463,batch3
FUSCCTNBC465,batch3
FUSCCTNBC466,batch3
FUSCCTNBC467,batch3
FUSCCTNBC468,batch3
FUSCCTNBC469,batch3
FUSCCTNBC470,batch3
FUSCCTNBC471,batch3
FUSCCTNBC472,batch3
FUSCCTNBC473,batch3
FUSCCTNBC474,batch3
FUSCCTNBC475,batch3
FUSCCTNBC476,batch3
FUSCCTNBC477,batch3
FUSCCTNBC478,batch3
FUSCCTNBC479,batch3
FUSCCTNBC480,batch3
FUSCCTNBC481,batch3
FUSCCTNBC482,batch3
FUSCCTNBC483,batch3
FUSCCTNBC484,batch3
FUSCCTNBC485,batch3
FUSCCTNBC486,batch3
FUSCCTNBC487,batch3
FUSCCTNBC488,batch3
FUSCCTNBC489,batch3
FUSCCTNBC490,batch3
FUSCCTNBC491,batch3
FUSCCTNBC492,batch3
FUSCCTNBC493,batch3
FUSCCTNBC494,batch3
FUSCCTNBC495,batch3
